NOME;SEXO;IDADE;CPF;RUA;BAIRRO;CIDADE;ESTADO
PAULO;M;10/01/1960;6576576765;1;CENTRO;SÃO PAULO;SP
CARLOS;M;05/11/2002;6765765767;2;NORTE;SÃO PAULO;SP
PEDRO;M;06/03/1994;7657657657;3;SUL;SÃO PAULO;SP
RAFAEL;M;21/05/1985;7657657657;4;LESTE;SÃO PAULO;SP
MARIA;F;08/04/1985;5435345345;5;OESTE;SÃO PAULO;SP
STEPHANIE;F;26/04/2000;6576576765;6;CENTRO;SÃO PAULO;SP
LORENZO;M;02/03/1983;7656576776;7;NORTE;TERESINA;PI
JOANA;F;14/03/1977;7667576577;8;SUL;TERESINA;PI
KATIA;F;26/11/1969;7657657657;9;LESTE;BELO HORIZONTE;MG
RODOLFO;M;02/11/1980;7657657657;10;OESTE;BELO HORIZONTE;MG
FELIPE;M;20/02/1983;43564565466;11;CENTRO;RIO DE JANEIRO;RJ
MARTA;F;05/05/1978;5464564565;12;NORTE;RIO DE JANEIRO;RJ
CAROL;F;12/03/1970;546546456;13;SUL;PORTO ALEGRE;RS
EDGAR;M;01/12/1979;6456546765;14;LESTE;PORTO ALEGRE;RS
ROBERTO;M;27/01/2000;65765765765;15;OESTE;JOÃO PESSOA;PB
MARLENE;F;17/11/1991;676576565;16;CENTRO;SALVADOR;BA
CUSTODIO;M;03/03/1966;54645654645;17;OESTE;SALVADOR;BA
PRISCILA;F;05/12/1969;5465645654;18;LESTE;RECIFE;PE
MILENA;F;12/11/1991;54654645654;19;SUL;VITORIA;ES
JOÃO;M;06/12/1978;65464564566;20;CENTRO;VITORIA;ES
